,username,text,likes,date
21,@MalcolmNance,"DEPT OF DIDDIGAF:  Many of you are disappointed in the fact that I see the Israel-HAMAS war through the lens of counterterrorism & war but not your misguided ill informed myopia & latent antisemitism. I understand. It’s your first time ever seeing a War … but for many of you just really hate Jews.  But here are the parameters to make sure you Unfollow me properly.   Why have the informed opinion of an expert who worked these MidEast wars for decades? That’s crazy, right? So try this:  1) If you don’t like my opinion on Gaza, Israel or counterterrorism strategies.  -Unfollow me.   2) If you think I’m a war monger who hates the Palestinian people, or a Zionist who loves killing babies, women & hates Arabs. You’re an idiot.  -Unfollow me.   3) If you always followed me & say “Wow I respected him but now he supports the Jews/Zionist/Netanyahu/Genocide/Colonialism/Occupation”please Jesus -Unfollow me.   4) If you think I’m a pig, POS & hate you for your proHAMAS, antisemitic, or patently stupid opinions, You’re right.  -Unfollow me.   5) If you cry over the terrible deaths of Palestinian babies but never once mention the dead Jewish Babies executed on 10-7. Or say dead Jewish Babies are fake. Help me God,  -Unfollow me  6) If you can’t spell Israel (Isreal) or Gaza (Gazza) without spell check & think about lecturing me on the Middle East … that’s right, - Unfollow me.   7) If you have ever chanted “From the River to the Sea…” be advised, the real ending is - “Malcolm says Unfollow me”  8) If you completely forgot 10-7 even happened or claim it was fake or don’t even know what happened to start this cycle of violence but but Genocide!  - Unfollow me  9) If you say you will vote for Trump or wont vote or call Biden “Genocide Joe” bc you don’t know the meaning of the word Genocide or if you don’t know the Sykes-Picot treaty did not involve tortillas; the Balfour Declaration was NOT signed by Jefferson: or think that Transjordan was a car featured on Fast and Furious X - Unfollow me  10) If you are offended by any of the above or are just in doubt about any of the above - Unfollow me   Let’s see what happens.",9725,"Nov 11, 2023 · 1:36 AM UTC"
22,@muhammadshehad2,THESE ARE NOT HAMAS MEMBERS!  Among the identified detainees is prominent journalist Diaa al-Kahlout from al-Araby TV.  They were detained at a UN school turned shelter  Do journalists ever bother to do the tiniest bit of fact-checking & verification before amplifying propaganda?,24356,"Dec 7, 2023 · 4:15 PM UTC"
23,@Jessica49973707,Nope! Israel had a ceasefire and Hamas broke it. How about you talk to your bbf’s?,0,"Dec 8, 2023 · 3:55 AM UTC"
24,@DrEliDavid,"Ariel Bibas - 4 years old Kfir Bibas - 10 months old  Today marks two months since Hamas took them hostage. It refused to release them as part of the hostage release deals.  If you support or justify what Hamas did, you don't deserve to be called a human.",2923,"Dec 7, 2023 · 4:15 PM UTC"
25,@JeffGrunfe32884,"And pro-palistinean protestors call jews Nazis. Hamas' actions are the only ""Nazi"" actions I've been made aware of. The problem is that people don't understand the difference between war & Nazi tactics.",0,"Dec 8, 2023 · 3:55 AM UTC"
26,@newtgingrich,We know President Biden can”t stand up to Iranian aggression. Now we will see if he can stand up to 40 arrogant White House interns who sent him a letter demanding he abandon Israel and side with Hamas. Why are they still in the White House?,1637,"Dec 7, 2023 · 1:33 PM UTC"
27,@TripleKyun,"""thanks for this award I love games that are actually just movies, nihilism and depression and bashing peoples heads in with golf clubs. I can't wait to base my next game off of the Israel/Hamas war. Fuck Jak and Daxter""",850,"Dec 8, 2023 · 3:25 AM UTC"
28,@WalidMahmodRouk,"This is the image that Israel has been seeking for 60 days, the arrest of dozens of Palestinian civilians under the claim that they are members of Hamas, a victory claimed by Netanyahu.  “if you were able arrest all of these civilians, then where are the hostages?! ’ A strategic failure, the Israeli army achieved only one goal: to inflict the maximum number of civilian and Palestinian child casualties in Gaza",25901,"Dec 7, 2023 · 2:04 PM UTC"
29,@MarioNawfal,"🚨 BREAKING: IDF ADMITS TODAY'S MASS ARRESTS ARE NOT NECESSARILY HAMAS  In a statement, the IDF spokesman states that the IDF arrested Palestinians who may not be part of Hamas, as they were in Hamas hotspots.  The detainees will be interrogated to investigate who is and isn't linked to Hamas.  Full Statement by IDF Spokesman Rear Adm. Daniel Hagari:  ""Jabaliya and Shejaiya are 'centers of gravity'... for terrorists, and we are fighting them. They are hiding underground and come out and we fight them.  Whoever is left in those areas, they come out from tunnel shafts, and some from buildings, and we investigate who is linked to Hamas, and who isn't.  We arrest them all and interrogate them.""  Source: Times of Israel",1496,"Dec 7, 2023 · 7:02 PM UTC"
30,@AvivaKlompas,"Kibbutz Be'eri was one of the communities most devastated by Hamas's Oct 7 massacre. Terrorists murdered 10% of the community and took many others hostage. They set people’s homes on fire, looted, and destroyed everything in sight.  Today, IDF soldiers lit #Hannukah candles in the window of a destroyed home. Bit by bit, we will restore the light.",1527,"Dec 8, 2023 · 2:02 AM UTC"
