,username,text,likes,date
24,@ShaykhSulaiman,"BREAKING: ISRAELIS ADMITS TODAY'S ARRESTS WERE NOT HAMAS  In a statement, the Israeli spokesman states that Israel arrested Palestinians who may not be part of Hamas, as they were in Hamas hotspots.",7733,"Dec 7, 2023 · 7:18 PM UTC"
25,@Algoriitmo,"Cool! Is it because of Israel or despite Israel? And why oh why, Matt, tell me. My country recognized the state of Palestine in 2008. Tell me why I was strip searched by the IDF at the frontier between Jordan and Palestine",0,"Dec 8, 2023 · 3:32 AM UTC"
26,@JordanUhl,Weird how everyone in Gaza who's in a position to effectively communicate and demonstrate what Israel is doing keeps dying. Probably just a coincidence!,8695,"Dec 7, 2023 · 10:05 PM UTC"
27,@Lowkey0nline,"""Keir Starmer you are facilitating Israel's genocide in Gaza...""  Israel lobby-funded leader of the Labour Party, Keir Starmer, is confronted again in Scotland for his support for Israel.",15614,"Dec 7, 2023 · 5:57 PM UTC"
28,@Indigobro,"I'm just in shock n awe 🚀  that nearly 2 million human beings can be displayed, w tens of thousands of murdered civilians and the Workd carries on, 'ho, hum..'   And Israel is bombing away, saying, 'nothing to see here'.  If not you @UN,  then Who🦉 ?  End it in Ukraine & Gaza.",0,"Dec 8, 2023 · 3:32 AM UTC"
29,@naftalibennett,"The son of one of Hamas’ leaders, Ismail Hanyeh, is buying expensive jewelry in Qatar shops while his brothers and sisters are suffering.   The son of one of Israel’s leaders, Gadi Eisenkot, fought and fell to protect his brothers and sisters.   Israel will win🇮🇱",3294,"Dec 7, 2023 · 11:03 PM UTC"
30,@SaraiDa8888,where's the link?  I call BS . So does Times of Israel  https://www.timesofisrael.com/idf-officials-2-civilian-deaths-for-every-1-hamas-fighter-killed-in-gaza/,0,"Dec 8, 2023 · 3:32 AM UTC"
31,@DrLoupis,Israeli soldiers just MURDERED a civilian holding a PEACE FLAG and his kids.  Israel is a terrorist state!🇮🇱,23470,"Dec 7, 2023 · 10:47 PM UTC"
32,@adamyee613,"“Jail” should be lower case in this context. Good on you for having a shot at English though!  Final point: this post had nothing to do with Gaza or Israel.  You’re just screaming in the dark. It’s your childhood all over again.  Except now, it’s public.",0,"Dec 8, 2023 · 3:32 AM UTC"
33,@NourNaim88,Israel’s Target !  Heartbreaking: Aya and her brother Aboud were killed by the Israeli army in a missile strike on their home - Gaza.   They remained under the rubble for 26 days until they were rescued and buried !,237,"Dec 7, 2023 · 10:06 PM UTC"
34,@ShaykhSulaiman,ISRAEL VIOLENTLY ASSAULT YOUNG MAN WITH DOWN SYNDROME,75125,"Dec 7, 2023 · 7:30 AM UTC"
35,@alicehenryli,and this is what ISRAEL did to gaza,75603,"Dec 6, 2023 · 10:36 AM UTC"
