username,text,likes,date
@JeffGrunfe32884,"And pro-palistinean protestors call jews Nazis. Hamas' actions are the only ""Nazi"" actions I've been made aware of. The problem is that people don't understand the difference between war & Nazi tactics.",0,"Dec 8, 2023 · 3:55 AM UTC"
@newtgingrich,We know President Biden can”t stand up to Iranian aggression. Now we will see if he can stand up to 40 arrogant White House interns who sent him a letter demanding he abandon Israel and side with Hamas. Why are they still in the White House?,1637,"Dec 7, 2023 · 1:33 PM UTC"
@TripleKyun,"""thanks for this award I love games that are actually just movies, nihilism and depression and bashing peoples heads in with golf clubs. I can't wait to base my next game off of the Israel/Hamas war. Fuck Jak and Daxter""",850,"Dec 8, 2023 · 3:25 AM UTC"
@WalidMahmodRouk,"This is the image that Israel has been seeking for 60 days, the arrest of dozens of Palestinian civilians under the claim that they are members of Hamas, a victory claimed by Netanyahu.  “if you were able arrest all of these civilians, then where are the hostages?! ’ A strategic failure, the Israeli army achieved only one goal: to inflict the maximum number of civilian and Palestinian child casualties in Gaza",25901,"Dec 7, 2023 · 2:04 PM UTC"
@MarioNawfal,"🚨 BREAKING: IDF ADMITS TODAY'S MASS ARRESTS ARE NOT NECESSARILY HAMAS  In a statement, the IDF spokesman states that the IDF arrested Palestinians who may not be part of Hamas, as they were in Hamas hotspots.  The detainees will be interrogated to investigate who is and isn't linked to Hamas.  Full Statement by IDF Spokesman Rear Adm. Daniel Hagari:  ""Jabaliya and Shejaiya are 'centers of gravity'... for terrorists, and we are fighting them. They are hiding underground and come out and we fight them.  Whoever is left in those areas, they come out from tunnel shafts, and some from buildings, and we investigate who is linked to Hamas, and who isn't.  We arrest them all and interrogate them.""  Source: Times of Israel",1496,"Dec 7, 2023 · 7:02 PM UTC"
@AvivaKlompas,"Kibbutz Be'eri was one of the communities most devastated by Hamas's Oct 7 massacre. Terrorists murdered 10% of the community and took many others hostage. They set people’s homes on fire, looted, and destroyed everything in sight.  Today, IDF soldiers lit #Hannukah candles in the window of a destroyed home. Bit by bit, we will restore the light.",1527,"Dec 8, 2023 · 2:02 AM UTC"
@Irishchutzpah,MY TIME  Person of the year. Kfir Bibas 10 months old. Kidnapped by Palestinian terrorists Hamas 7/10,6002,"Dec 7, 2023 · 9:05 AM UTC"
@IDF,Urban warfare is Hamas’ barbaric game.    Watch to see armed Hamas terrorists fortify themselves in civilian buildings in Gaza from their own body camera:,5479,"Dec 7, 2023 · 7:20 PM UTC"
@s_m_marandi,"Iran will continue to support Hamas, Islamic Jihad, and all the Palestinian Resistance groups both inside Palestine and abroad.  The only solution is to end ethnic supremacism and apartheid across Palestine. Zionists must be defeated or sent back home to Europe.  #GazaHolocaust",96,"Dec 8, 2023 · 3:18 AM UTC"
@HillelNeuer,"Council on American-Islamic Relations chief cheers October 7th Hamas massacre. “I was happy to see people breaking the siege and walk free into their land...”  President @JoeBiden, why again did you make CAIR an official part of your National Strategy to Counter Antisemitism?",754,"Dec 7, 2023 · 2:28 PM UTC"
@Yserbius123,"We're on the same page with that, I also want to see Palestinians get a chance at human rights. I think our disagreement is that I see Hamas as the biggest obstacle and Israel as the only way to eliminate them. You just kind of have this vague idea that things are wrong.",0,"Dec 8, 2023 · 3:55 AM UTC"
@DillyHussain88,"Lies.   These are civilian men being rounded up in Beit Lahia, not Hamas fighters in Khan Younis.",3641,"Dec 7, 2023 · 3:58 PM UTC"
@will_christou,"One of the men arrested in this video is our colleague Al-Araby Correspondent Diaa Kahlot, along with his family, who are most definitely not members of Hamas.  He and other captives were stripped naked in the street and taken to an unknown location.   Journalism is not a crime!",27521,"Dec 7, 2023 · 3:34 PM UTC"
@dodocosmo,Is this your mentor you diluted hamas apologist ?,0,"Dec 8, 2023 · 3:55 AM UTC"
@DrEliDavid,"You thought @Harvard, @MIT, and @Penn have hit rock bottom?  Yesterday @Columbia held an event celebrating Hamas' massacre 👇  The speakers praised Hamas' “October 7th counteroffensive” as a heroic action showing creativity and determination 🤯",9276,"Dec 7, 2023 · 9:42 AM UTC"
@muhammadshehad2,"🚨Israel's Public Broadcasting Corporation admits those are NOT Hamas militants  It's random men & teenagers detained arbitrarily without charges, trial or legal counsel to ""check *IF* some of them are Hamas terrorists""  Meaning civilians are presumed guilty until proven innocent",12573,"Dec 7, 2023 · 5:21 PM UTC"
@ShaykhSulaiman,BREAKING: CONFIRMED ISRAEL CAPTURE INNOCENT CIVILIANS AND NOT HAMAS AS JOURNALIST IS ALSO CAPTURED   Diaa Al-Kahlot a well known journalist is among those that have been taken hostage. His relatives are also almost among those captured.  Source @stairwayto3dom,54081,"Dec 7, 2023 · 4:45 PM UTC"
@amjadt25,"""Sinwar (the leader of #Hamas terrorists in #Gaza) you bastard"". Sinwar hides beneath the ground, along with the rest of the scumbags."" This is the voice of a Gazan,(not from #Israel), speaking to a local radio station. This won't be published anywhere.",2557,"Dec 7, 2023 · 9:49 AM UTC"
@CrystalABM,@CommunityNotes These were terrorists who came from underground tunnels when they were flooded.  They surrendered. Just because someone posed as an”journalist” doesn’t stop him from being complicit. Remember it was proven journalists were with Hamas on October 7th,0,"Dec 8, 2023 · 3:55 AM UTC"
@RashadRamzan,I salute your Level of lies and  Level of your shame while telling lies.   They are civilians.    IDF can't fight with hamas.,488,"Dec 7, 2023 · 6:24 PM UTC"
@jakeshieldsajj,These are civilians pulled out of a refugee camp not Hamas   Hamas is hiding in tunnels and armed unlike these people,19277,"Dec 7, 2023 · 9:18 PM UTC"
@jacksonhinklle,"🚨🇵🇸 Hamas official Osama Hamdan:  ""Netanyahu FAILED to achieve any goal after 2 months of US-backed genocide!""",10419,"Dec 7, 2023 · 10:00 PM UTC"
@visegrad24,Another good day for the IDF  Hamas will soon have lost control of all parts of Gaza,11288,"Dec 7, 2023 · 10:55 PM UTC"
@choeshow,"HAPPENING NOW: Thursday afternoon, dozens of pro-Palestine activists hijacked Gerberding Hall in Red Square which houses the president's office(@amcauce.)  They're demanding an immediate ceasefire to the Israel-Hamas war. They also want the University of Washington(@UW) to cut ties with Israel and local defense company Boeing.  No one is being allowed into the building.  At the same time, the campus cops are not actively trying to remove them. Instead, the demonstrators have been warned to vacate the building by 5pm or else. Showdown looming?  Btw most of these folks are not students. They're the same FAR-LEFT activists pushing their Commie/Marxist/Socialist agenda and fueling all the recent pro-Palestine protests on campus and in downtown Seattle.  Some of them are also with Stop The Sweeps Seattle, a radical activist group undercutting Mayor Bruce Harrell's plan to address homelessness in the city. These folks are all part of a well orchestrated Seattle protest network. They spotted me right away so I took off. Didn't want to deal with the headache. I have other stories to cover today.  #Seattle #Israel #Palestine #Hamas #Terrorism #War",322,"Dec 8, 2023 · 12:12 AM UTC"
@HadiNasrallah,"Sickening. The Israeli forces are rounding up Palestinian civilians and stripping them naked to humiliate them and probably mass execute some of them, ISIS-style. Those men are not Hamas. Israel is lying to get a sense of victory after butchering babies",18293,"Dec 7, 2023 · 3:10 PM UTC"
@Telos_Demos,"Ahistorical morons think Hamas are some kind of freedom fighters.  They are terrorists, dictators, and Islamo-fascists of the worst kind.  This article compares Israel and Hamas:  https://medium.com/@pluralus/is-hamas-the-same-as-israel-or-worse-24c7fb8190c3",0,"Dec 8, 2023 · 3:55 AM UTC"
@FunnyvideosMor1,"Omg! Isrealis are so desperate to show the world they are winning they kidnap a bunch of random men torture and shoot them hitler style! The men have nothing to do with Hamas, I am so saddened by this and angry.😠",5,"Dec 8, 2023 · 3:20 AM UTC"
@DrEliDavid,"12 rockets fired by Hamas from a UN 🇺🇳 humanitarian site in Gaza.  @antonioguterres, @DrTedros, you there? Where is your condemnation?",15080,"Dec 7, 2023 · 11:05 AM UTC"
@ICCT_TheHague,"What do we know about Hamas?  @Joana_Cook interviewed @DevorahMargolin covering topics such as the group's strategic shift, leadership, comparisons with ISIS, interactions with external entities, and potential future developments  Read the full interview➡️ https://buff.ly/47QPDVq",17,"Dec 7, 2023 · 9:00 AM UTC"
@HedayaEmilie,Call on Hamas to release the hostages and ceasefire. Start there at your press conference pretending to have empathy. Israel will continue until Hamas is eliminated and all hostages are free. Happy Hanukkah 🕎🇮🇱,0,"Dec 8, 2023 · 3:55 AM UTC"
@LS62901203,"Hamas and their actors should get an Oscar for best  acting, directing and decorations!",0,"Dec 8, 2023 · 3:55 AM UTC"
@Muwaahid92,BREAKING:- CONFIRMED ISRAEL CAPTURE INNOCENT CIVILIANS AND NOT HAMAS AS JOURNALIST IS ALSO CAPTURED Diaa Al-Kahlot a well known journalist is among those that have been taken hostage. His relatives are also almost among those captured. Source @stairwayto3dom #Gaza_Genocide #Gaza,135,"Dec 7, 2023 · 5:08 PM UTC"
@dtuckness,You would favor your child molesting and rapist friends in hamas.  Sad you prefer the animals over people.,0,"Dec 8, 2023 · 3:55 AM UTC"
@ryangrim,The IDF is claiming these are Hamas fighters pulled from tunnels. That is not true. This was a civilian who stayed behind to care for his disabled daughter and elderly mother. Who is caring for them now?,10044,"Dec 7, 2023 · 6:14 PM UTC"
@JoshuaPHilll,I haven’t been able to wrap my mind around this new low from the IDF and Zionist propagandist. Stripping people and parading them in the streets. Celebrating this debased fascist act while people say “That’s a journalist. That’s my family. That’s not Hamas.” I can’t fathom it.,2567,"Dec 7, 2023 · 6:51 PM UTC"
@aziz0nomics,This is real courage.  Criticising Hamas live on TV from within Gaza for STEALING AID FROM PALESTINIANS.  This is what a FREE PALESTINIAN looks like.  ❤️,5223,"Dec 7, 2023 · 10:33 AM UTC"
@HenMazzig,"This is unbelievably horrific.  According to doctors who treated those released, Hamas drugged hostages with tranquillisers to make them look happy.  Some released hostages were also in near-death condition. Others developed severe conditions such as heart problems and strokes from being captivity.  They can’t even begin the recovery process because their families are still being held by Hamas.",3475,"Dec 7, 2023 · 1:28 PM UTC"
@FutureFred1,"Bowman should be charged with the same charges as Jan. 6 defendants for interfering with a Congressional proceeding. Equal application of the law, you insidious genocidal Hamas NAZI.",0,"Dec 8, 2023 · 3:55 AM UTC"
@TheMossadIL,"Abdel Aziz Rantisi, a senior terrorist operative from Hamas’ military intelligence unit, responsible for field intelligence in the Gaza Strip and participated in the planning of the October 7th massacre.   Ahmed Aiush, a terrorist operative from Hamas’ Carrara Battalion observation unit, responsible for compiling field intelligence from across the Gaza Strip.  Eliminated.                                Eliminated.",2377,"Dec 7, 2023 · 5:26 PM UTC"
@AdolfRapeler,"Making ""posted it again award"" stickers to hang on those ""kidnapped by Hamas"" atrocity propoganda posters",36,"Dec 6, 2023 · 5:08 AM UTC"
@airforceO1,Is Prof. Refaat also Hamas? He has been assassinated by Israel!,0,"Dec 8, 2023 · 3:55 AM UTC"
@1Truthfulchat,"We all know you are pro HAMAS. spreading propaganda because you are anti semites. George Soros, self hating Jew, is your backer. He sold his soul to HAMAS a long time ago.",0,"Dec 8, 2023 · 3:55 AM UTC"
@AightSoBoomPod_,No mention of the countless Jewish  woman that were raped by Hamas . You’re a disgraced to this city and I can’t wait till you’re unseated,0,"Dec 8, 2023 · 3:55 AM UTC"
@singledsnack,"They are not “hamas fighters”, they are Palestinian civilians who were abducted by Israelis from shelters, and they are being prepared for mass execution.",428,"Dec 7, 2023 · 4:27 PM UTC"
@BBCAfrica,"Kenya is set to send 1,500 farm workers to Israel, becoming the second African country to do so, after Malawi.  More than 10,000 migrant farm workers - mostly from Thailand - have left Israel since the start of the war with Hamas, in October. ⏩ https://bbc.in/3t7uvM4",251,"Dec 7, 2023 · 11:30 AM UTC"
@CensoredMen,🇵🇸🇮🇱 Poor mother 😔  This is Israel targeting Hamas.,14733,"Dec 7, 2023 · 3:10 PM UTC"
@Rohit_Live007,"Ever since the beginning of the Israel-Hamas, Indian Muslims social media influencers have weaponized disinformation to spearhead the anti-israeli propaganda campaign on social media. My analysis | via  @BefittingFacts",63,"Dec 7, 2023 · 6:28 PM UTC"
@ShaykhSulaiman,BREAKING: ISRAELI HOSTAGES RETURN FROM HAMAS AND SAY IT WAS LIKE A VACATION  Being with Hamas was like being on a holiday  They clearly treated them well  Compare that to the abuse suffered by the Palestinian hostages in Israeli captivity,2671,"Dec 7, 2023 · 8:49 PM UTC"
@HenMazzig,"Itay and Maya Regev, who were kidnapped by Hamas and are now recovering in Israel, endured horrific levels of torture and abuse.  Itay who was shot in the hip said Hamas operated him while he was in full conscious as form of abuse. His sister Mia who was shot in her leg, had her feet operated on and re-connected upside down by the terror group.  In the Israeli hospitals the medical team has revered the damaged Hamas sadistic terrorists caused them.",7312,"Dec 7, 2023 · 9:22 PM UTC"
@nedk1119,I don't advocate for killing random people but I do advocate for killing Hamas and supporters of Hamas actions. Israel has the right to protect itself from terrorism! Israel is trying harder than any country has to avoid civilian death,1,"Dec 8, 2023 · 3:55 AM UTC"
@libsoftiktok,This Tiktoker wants to be a hostage in Gaza because video showed the released hostages smiling and shaking hands with Hamas.  Reports show Hamas drugged the hostages so they would appear calm. A doctor reported many hostages were sexually abused. Video shows Hamas commanding the hostages to wave and smile. Other hostages report intense beatings and very little food.  Imagine falling this hard for Hamas propaganda.,7818,"Dec 7, 2023 · 4:59 PM UTC"
@ShragaTeichman,"Murder? Sure, Hamas (proudly) did that.  Rape? HOW DARE YOU ACCUSE THEM!",0,"Dec 8, 2023 · 3:55 AM UTC"
@TomReed90139875,"Once Hamas unconditionally surrenders, then a ceasefire may be on the table.",0,"Dec 8, 2023 · 3:55 AM UTC"
@LizaRosen0000,"https://n.biendeo.com/YossiGoldstein8/status/1719532849508815162/video/1 Never forget! This is why we are in Gaza right now. Hamas started this war, murdered 1400 innocent people and kidnapped over two hundred more to Gaza. For the sake of future peace, Hamas must be destroyed!  The international community should call on Hamas to surrender and release all hostages immediately!",471,"Dec 7, 2023 · 11:39 PM UTC"
@canarymission,"Sarah Reeves, who was filmed ripping down posters of Israelis kidnapped by Hamas and employed as a research assistant @Berkeley Law, is no longer listed in the employee directory. https://canarymission.org/individual/Sarah_Reeves",2316,"Dec 8, 2023 · 1:00 AM UTC"
@GaryGevisser,It’s all on Israel; no one says Hamas should surrender.  It is incredible.  Reason for optimism.  Not to speak is to speak.,0,"Dec 8, 2023 · 3:55 AM UTC"
@OmarBaddar,"Since a friend who has nothing to do with Hamas has reported that his 13 year old nephew, brother & father have all been kidnapped by the Israeli military in Gaza, this is likely the mass arrest of random Palestinian civilian men and boys under the guise of a ""surrender.""",2453,"Dec 7, 2023 · 5:59 PM UTC"
@Windham9Paul,On this day that still lives in infamy we must recall our insistence on unconditional surrender as our mission in WW II.  Israel is in the same position today - the only option for them is total destruction of Hamas without condition.,0,"Dec 8, 2023 · 3:55 AM UTC"
@TheMossadIL,Hamas terrorists.   You have nowhere to hide.  Above ground or below.,12684,"Dec 7, 2023 · 5:29 PM UTC"
@muhammadshehad2,"🚨Israeli accounts are trying to spin the images of mass detention of Gazan civilians as ""Hamas militants"" (though can't agree on the location🤔)  Known journalists were identified among those detained in the *Jabalia refugee camp*  IDF is posting this cruelty as a victory image!",7708,"Dec 7, 2023 · 3:34 PM UTC"
@cfirgu,"***** "" hamas journalists"" in gaza .  There is nothing like capturing ""Journalists.  #HamasisISIS",0,"Dec 8, 2023 · 3:55 AM UTC"
@ChayaRaichik10,BREAKING: Refaat al-Ar’eer was killed in a strike today.  This was his response to reports of a baby being baked in an oven by Hamas:,15468,"Dec 7, 2023 · 10:12 PM UTC"
@3FTshirts,Can't beat hamas so you punish the civilians. Brave IDF cowards.,3613,"Dec 7, 2023 · 3:59 PM UTC"
@Smithaelias,"Because Hamas dors not release captives and surrender, simple",0,"Dec 8, 2023 · 3:55 AM UTC"
@OliLondonTV,"This was the Kedem family from Nir Oz. 🇮🇱  This entire family were murdered by Hamas on Oct 7th.   Tamar, Yonatan and their 3 young children Shachar, Arbil and Omar.   In a final text message to their worried friends, Tamar said: ""Hi guys, we got into the shelter in our house, we're all going okay.""  Moments later Hamas stormed in their home, entered their safe room and shot them all dead.   Source: Daily Mirror",20393,"Dec 7, 2023 · 5:58 AM UTC"
@canarymission,"🔴Jordan Vaughan, an organizer for Philly Palestine Coalition, led several rallies praising Hamas' war crimes. On Twitter, he posted a photo of Israeli Shani Louk, who was brutally killed by Hamas, & wrote, “Glad Hamas killed this b*tch cause what’s that?” https://canarymission.org/individual/Jordan_Vaughan",3131,"Dec 7, 2023 · 8:00 PM UTC"
@riznuh,"So, Israel can’t defeat hamas",0,"Dec 8, 2023 · 3:55 AM UTC"
@POTUS,Today I spoke with Prime Minister Netanyahu to express my concern for the remaining hostages — and to note that it was Hamas’s refusal to release women civilian hostages that broke down the humanitarian pause.  We will continue to pursue every opportunity to free them.,4812,"Dec 8, 2023 · 12:40 AM UTC"
@stairwayto3dom,"🚨🇮🇱 ISRAEL ARE LYING AGAIN!  ❌ Israel have been caught taking innocent civilians hostage.  ❌ They claim they captured ‘Hamas’ members, when in reality they are kidnapping CIVILIANS and JOURNALISTS!  ❌ Well known journalist, Diaa Al-Kahlot is among those that are captured. It’s been reported that his cousins and relatives are almost among them.  WE PRAY FOR THEIR SAFETY! 🙏",13762,"Dec 7, 2023 · 4:35 PM UTC"
@TheBabylonBee,Bill Cosby Joins Hamas So Feminists Will Stop Condemning Him For Rape https://buff.ly/3RqwYdY,77949,"Dec 4, 2023 · 9:34 PM UTC"
@SpencerGuard,"When prisoners surrender (some unofficial reports Hamas surrendered out of tunnels) or are captured, they are immediately searched. Many militaries have internal processes, in the U.S. military it is to search, silence, segregate, speed (to the rear for processing), & safeguard.",1393,"Dec 7, 2023 · 9:24 PM UTC"
@MehdiRizvi123,"🇵🇸🎥 | Look at this video, their smiles.. Now you understand the difference between how Hamas and the IOF treat hostages/prisoners  They call it propaganda and that they were forced to smile, yet at the same time they refuse to interview ever since that old woman was interviewed",3,"Nov 30, 2023 · 12:45 PM UTC"
@thornhillguy,you keep posting fake news wasn’t this man shot by Hamas? Hamas has been killing Palestinians trying to find safety.,0,"Dec 8, 2023 · 3:55 AM UTC"
@KassyDillon,"Together with a group of Arabs, I watched the 47-minute long video of Hamas murdering civilians.  Here’s what they thought:",2495,"Dec 8, 2023 · 12:44 AM UTC"
@DonDavies,"Israel is now using sophisticated technology to target and kill leading Gazan academics, authors, historians, poets, artists, journalists, teachers. These are not Hamas leaders. This is cultural genocide. The world must intervene to stop this brutal crime against humanity.",891,"Dec 8, 2023 · 12:52 AM UTC"
@RachaelThomasMP,Hamas is the only entity using rape and sexual violence as an act of war!   Why is that so hard to condemn?!,206,"Dec 7, 2023 · 8:16 PM UTC"
@Mohammadayaz312,"No hamas combattant would want to be taken alive with those Zionist pigs who might use the same US torture techniques. ""Better die fighting as a free man than live the life of a slave""  Those captured are not even combattants, they are regular family men, civilians.",0,"Dec 8, 2023 · 3:55 AM UTC"
@visegrad24,"After Israel flooding several Hamas tunnels, they had to go above ground.  And there they were no match for the IDF who captured several hundred suspected Hamas members today.  Israel’s ground invasion is now really picking up pace…",24164,"Dec 7, 2023 · 7:18 PM UTC"
@seedney,we have the names   they don’t even have proof those are Hamas; they just make up lies,0,"Dec 8, 2023 · 3:55 AM UTC"
@ashxz471,Fantastic job.... Israel. Kill  every single Hamas till you get your citizens back.,0,"Dec 8, 2023 · 3:55 AM UTC"
@The_NightReport,So IDF capturing civilians and posing as they captured Hamas?,3340,"Dec 7, 2023 · 4:52 PM UTC"
@DumisaniTemsgen,"If you’re crying for Hamas terrorists being arrested but dismissed Israeli women and children being slaughtered, you might be a Nazi.",574,"Dec 8, 2023 · 12:10 AM UTC"
@EndGameWW3,Update: Iran International: Iran’s Foreign Minister Hossein Amir-Abdollahian says Hamas has so far responded well to the Israeli aggression but the coming days will be “extremely frightening” for Israel.,56,"Dec 8, 2023 · 3:18 AM UTC"
@AskAnshul,"Hamas seeks Pakistan's help against Israel.  Hamas leader Ismail Haniyeh called Pakistan ""brave"" and ""land of mujahideen"".  Brave? 93,000 Pakistani soldiers surrendered in 1971, the world's largest surrender in terms of number of personnel since World War II. Hmmm this is bravery",3093,"Dec 7, 2023 · 6:26 PM UTC"
@AddieShepherd19,As it turns out they are Hamas wearing civilian clothing,0,"Dec 8, 2023 · 3:55 AM UTC"
@Jmetts13,No one is being executed. These soldiers aren’t Hamas.,0,"Dec 8, 2023 · 3:55 AM UTC"
@hebh_jamal,10 men were kidnapped from ONE family in the viral “Hamas roundup” posts the IDF disgustingly advertised today. Did they think Palestinians won’t recognise their loved ones?!,279,"Dec 8, 2023 · 2:39 AM UTC"
@Megatron_ron,"BREAKING:  ⚡Among the civilian detainees photographed by the Israeli army is the journalist Diaa Al-Kahlot, bureau chief of Al-Arabi Al-Jadeed newspaper in Gaza, who appears in this photo.  These are not Hamas people, these are civilians and journalists who did not participate in the fighting at all.",1941,"Dec 7, 2023 · 6:04 PM UTC"
@NST_Online,"#NSTworld  The United Arab Emirates has asked for the UN Security Council to vote Friday morning on a draft resolution that demands an immediate humanitarian ceasefire in the war between Israel and Hamas in the Gaza Strip, diplomats said.  https://www.nst.com.my/world/world/2023/12/987846/uae-asks-un-security-council-vote-friday-demand-gaza-ceasefire",0,"Dec 8, 2023 · 3:55 AM UTC"
@AryJeay,"🚨 Al-Qassam (Hamas)  Qassam fighters engaged with an infantry patrol unit, consisting of 6 Zionist soldiers, causing casualties among them, and we seized an israeli ""robot"" they had in the eastern axis of Khan Younis.",821,"Dec 7, 2023 · 12:25 PM UTC"
@adam_schlenker,Why the Hamas leaders live in luxury?,1,"Dec 8, 2023 · 3:55 AM UTC"
@YosephHaddad,"Listen to the heartbreaking testimony of Noam, who survived the massacre by Hamas terrorists at a party two months ago... listen and ask yourself how the women's organizations in the world are silent. How do major universities in the world look for the ""context""? And how are there people in the world who still support Hamas and call this terrorism ""legitimate resistance""?!",1662,"Dec 7, 2023 · 4:33 PM UTC"
@IsraelinGeneva,"This is Israeli kid Ido Avigal. He was 5 years old when he was killed in 2021, in his house in Sderot, during a major Hamas rockets barrage.  Hamas killed Ido.  But today, the Palestinian Delegation presented an exhibition @UNGeneva, which included Ido as a Palestinian child supposedly killed by Israel in Gaza. This is despicable.  We call on @UN_Valovaya to immediately remove this exhibition, which spreads misinformation and is part of a propaganda campaign.",13562,"Nov 29, 2023 · 9:48 AM UTC"
@jazztone35,Hamas wearing sandals? 😁 these are definitely civilians.,0,"Dec 8, 2023 · 3:55 AM UTC"
@missmayim,"Two months ago, we witnessed horrific acts of gruesome violence against innocent women by Hamas on October 7th. The world has been largely silent. Today, the #UnitedAgainstRape campaign seeks to speak for all the victims who can’t. Join us in calling on world leaders and women’s organizations everywhere to speak out against injustice against women. Share this post. @AllHumansGlobal",739,"Dec 7, 2023 · 5:02 PM UTC"
@GoldingBF,Footage of captured #Hamas fighters. Looks like a gay pride parade. These are the 'Lions of Palestine' 😂  #Hamas #Gaza,735,"Dec 7, 2023 · 7:00 PM UTC"
@jlazar57,"He’s amazing and has principles, unlike people supporting Hamas raping innocent women and currently holding hostages, which you seemingly care nothing about.",0,"Dec 8, 2023 · 3:55 AM UTC"
@IhabHassane,"Her husband was killed in the war, and she cries because she can't find food for her children. She blames Hamas for dragging Gaza's people into the war. The people of Gaza are dying of hunger and on the brink of a genuine humanitarian catastrophe.",161,"Dec 7, 2023 · 11:04 PM UTC"
@SpencerGuard,"Since there has been a sudden burst of experts on the handling of prisoners of war, here is what I see from the photos of the @IDF and Hamas prisoners of war in Gaza. 🧵",6146,"Dec 7, 2023 · 9:24 PM UTC"
@eyedefi,"Great!!! So papi, point out the Hamas, we can end this right now, and no more innocent civilians would die (you know unless you want that). War over just like that. 🤡🤡🤡",0,"Dec 8, 2023 · 3:55 AM UTC"
@AvivaKlompas,"The grandmother of Amelia Aloni and twins Emma and Yuli Cunio, three former child hostages of Hamas, shared this photo and wrote ""I waited 50 days for this photo. I received a Hannukah miracle""",2683,"Dec 7, 2023 · 9:02 PM UTC"
@mishtal,Israel captured a large number of Hamas terrorists today  Look at the timeline of the anti Israel activists  - all trying to pretend the Hamas terrorists are civilians.  This is what it has been about from day one. They are liars - propagandists - here to protect terrorists.,2221,"Dec 7, 2023 · 5:17 PM UTC"
@YaakovStras,"There is nothing more ironic than wishing people a ""Happy Chanukah"" or ""celebrating"" Chanukah while calling for/supporting the destruction of Israel and supporting Hamas terrorists.",0,"Dec 8, 2023 · 3:55 AM UTC"
@SpringSamuraiJP,"Please don't bomb my hometown in France, we have the same whole nearby our home, but I promise there are no Hamas members there.🙏",0,"Dec 8, 2023 · 3:55 AM UTC"
@MalcolmNance,Bc of HAMAS’s recklessness Palestinian self determination now must preclude any & ALL armed resistance.  It’s is the basis for all pain & suffering. That must be finished.  Forever or Gaza will become a template on how it will end.,261,"Dec 7, 2023 · 10:52 AM UTC"
@SanaSaeed,Don’t think for a minute that the same regime that has killed over 60+ journalists in Gaza (while spreading propaganda about how they are Hamas) did not purposely target and kill the most prolific conveyor of the situation in Gaza to English-speakers.,8560,"Dec 7, 2023 · 8:09 PM UTC"
@StopAntisemites,"Maryland - We are disgusted to learn that AG Anthony Brown (L) has reinstated Zainab Chaudry (R) to her position on the state's Hate Crime Task Force despite Chaudry's troubling denial of the heinous acts committed by Hamas terrorists on October 7th, where innocent Jewish babies were slaughtered.   The reinstatement raises serious concerns about the integrity of the Hate Crime Task Force and the commitment to addressing all forms of hate without bias.  ""I will never be able to understand how the world summoned up rage for 40 fake Israeli babies while completely turning a blind eye to 3,000 real Palestinian babies."" - Zainab Chaudry",6872,"Dec 7, 2023 · 7:12 PM UTC"
@N5CTE,HAMAS fighters surrendering,0,"Dec 8, 2023 · 3:55 AM UTC"
@abrasiveBill,To stop Hamas just needs to surrender,0,"Dec 8, 2023 · 3:55 AM UTC"
@IsraelWarRoom,Hamas can surrender whenever they want the fighting to stop.,664,"Dec 8, 2023 · 2:38 AM UTC"
@MehdiRizvi123,"Israelis are burning after seeing the Hamas video 😂  Reading the comments is like music to my ears, check my message underneath for more comments.",3,"Nov 30, 2023 · 12:47 PM UTC"
@IDF,"36 years of terrorism, rejection of peace and incitement of violence by Hamas.  Hamas proved once and for all that if we do not stop them now, next time would be worse.",12536,"Dec 6, 2023 · 10:54 PM UTC"
@VP,We’ve seen horrific reports of sexual assault by Hamas on October 7th. It is reprehensible and must be condemned.   Rape can never be used as a weapon of war. I’ve spent my career protecting women and girls from heinous crimes of sexual violence and will continue to do so.,9813,"Dec 7, 2023 · 6:30 PM UTC"
@NewsBFM,"1. RHB research has issued a note advising investors to sell shares of Berjaya Food, which operates the Starbucks franchise in Malaysia.  RHB says the Starbucks boycott could last longer than initially expected if there is no near-term resolution to the Israel-Hamas conflict.",2414,"Dec 7, 2023 · 3:00 AM UTC"
@eliahu_ben,So why ceasefire? Come and join the revolution.. Globalize the Intifada.. Shoot a synagogue or something.  Don't stay still! Join hamas in gaza for all we care..,0,"Dec 8, 2023 · 3:55 AM UTC"
@barbiecoder13,Remember Hamas travel in these “ambulances”.,0,"Dec 8, 2023 · 3:55 AM UTC"
@Khan_Here_0010,In search of Hamas they are actually doing this.,60,"Dec 7, 2023 · 5:15 PM UTC"
@NoaMagid,"⚠️This is a call to the world. These innocent young men were severely abused and kidnapped from the Nova Music Festival on October 7th by Hamas. Hamas terrorists filmed them in captivity, handcuffed. You can clearly see that they are hurt and scared. The Red Cross is obliged by international law to check their condition. Human rights organizations around the world did not lift a finger for them.  They are kidnapped Jews in Gaza and it is a holocaust. If you look away, this holocaust will one day knock on your door too. #kidnapped #October7massacre #HamasMassacre #HamasTerrorists #HamasislSIS",13045,"Dec 6, 2023 · 9:17 PM UTC"
@clean5253,New technique of stripping Palestinians & claiming surrender of Hamas but world eats grains not grass,0,"Dec 8, 2023 · 3:55 AM UTC"
@TP42120,Give back the hostages Surrender Hamas War will stop,0,"Dec 8, 2023 · 3:55 AM UTC"
