username,text,likes,date
@KatanaSpeaks,"TikTok banned @WomenPhilosophers after I posted videos on:  How children are being raped in Israeli prisons & Israel is covering it up and,  How Israel plans on salting Gaza which will render the land uninhabitable  My new TikTok page is @HanaKatanaDragonSlayer   Free Palestine🇵🇸",5764,"Dec 7, 2023 · 6:54 AM UTC"
@EekadFacts,"#OpenProbe🧵 | Having gained popularity among international audiences, the Gaza Report positioned itself as a reliable local news outlet on a global scale. However, skepticism has arisen, challenging its credibility and casting doubt on its status as a trustworthy source, as we began to notice its tendency to disseminate information aligning with Israel’s narrative.  @gaza_report",2271,"Dec 7, 2023 · 12:35 PM UTC"
@itranslate123,"George Floyd was all over the walls in occupied Palestine 🇵🇸, from Gaza to the West Bank.  Palestinians have supported Black Lives Matter and sent virtual tips for the Ferguson protesters to deal with tear gas.  Meanwhile, Israel trains American police to kill Black people. #blm",11255,"Oct 29, 2023 · 1:27 PM UTC"
@zei_squirrel,"Refaat Alareer, Palestinian writer and reporter from Gaza, before he was killed along with his family: ""If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.""",3430,"Dec 7, 2023 · 9:07 PM UTC"
@Bernadotte22,"do you want me to respect this world ????? Sorry i can’t   😭💔we ant a humans if we are just watching this silently   Israel bombed and killed his family in Gaza Now he have them in a bag, on the way to bury them.  #IsraeliButchers",607,"Dec 8, 2023 · 1:49 AM UTC"
@malsaafin,“The majority of young people [in Gaza] you see today on social media writing in English are his students. So he trained an army of writers and bloggers to write and to tell the story.”,887,"Dec 8, 2023 · 2:24 AM UTC"
@DrEliDavid,"Hi Palestinians in Gaza 👋  You took part in the October 7 massacre, and committed some of the most horrendous crimes. You celebrated in the streets as Israeli hostages were paraded. You thanked God for giving you that “glorious victory”.  Look around you now. Was it worth it?",7168,"Dec 7, 2023 · 6:46 PM UTC"
@brandonshimoda,"""Writing is a testimony, a memory that outlives any human experience, and an obligation to communicate with ourselves and the world. We lived for a reason, to tell the tales of loss, of survival, and of hope,"" I told my students.  Refaat Alareer, in Light in Gaza @haymarketbooks",23,"Dec 8, 2023 · 3:41 AM UTC"
@azaizamotaz9,"Israeli army arrested Palestinian civilians from a school in Beit Lahia in the north of Gaza Strip, and forced them to take off their cloths and left them in the cold street before detaining them They were all civilians",74707,"Dec 7, 2023 · 8:51 PM UTC"
@GazaMartyrs,"I am Dr. Rafat al-Araeer, 44 years old.  I'm an academic and lecturer at the Islamic University of Gaza, teaching foreign poetry and English literature.  I've participated in writing novels and books about the challenges of life in Gaza under Israeli blockade. I've been very active in exposing Israeli crimes on social media.  I always used to say: ""When we write about martyrs, it must be known that the Israeli occupation killed them. We must not leave the perpetrator unknown.""  The last thing I said was: ""The situation is very bleak, we don't even have water... I only have my pen, I'll throw it at the occupation soldiers if they invade, even if that's the last thing I do. We have nothing to lose.""  My brother was martyred by the Israeli occupation in the 2014 war, and today, I bid you farewell. My family and I are going to paradise next to my brother.  Dr. Rafat was martyred in an assassination carried out by the Israeli occupation. He and his family were martyred today, December 7, 2023.",24560,"Dec 7, 2023 · 8:27 PM UTC"
@helensclegel,Israel now admits it overestimated by hundreds the number of Israelis killed on 7th October.  They also admit the Gaza Ministry of Health data on Palestinians killed are accurate.  Will our media and politicians learn to stop believing Israel and start trusting Palestinians?,2900,"Dec 7, 2023 · 9:47 AM UTC"
@Lowkey0nline,"""What should we do? drown? commit mass suicide, is that what Israel wants?""  The haunting words of Dr. Refaat al-Areer, who has now been killed by Israel in Gaza.",36083,"Dec 7, 2023 · 8:13 PM UTC"
@Amyisroel_Chai,""" who spent his life trying to get Gaza's voice to the outside world.""  if that's Gaza's voice the world should know why there is no peace.  Spoiler alert it's not the fault of Israel",0,"Dec 8, 2023 · 3:47 AM UTC"
@Majstar7,"“I was in Ukraine 🇺🇦 when families just like these [Palestinians] were forced to flee, and the world opened its heart to them. I do not understand now why the world has closed its eyes.”   - UNICEF Spokesman @1james_elder reporting live from Gaza 🇵🇸 #StopGazaGenocide",17514,"Dec 7, 2023 · 7:58 AM UTC"
@_GeorgieBlaise,"HAPPENING NOW: over 1,000 trade unionists simultaneously shut down 4 UK arms factories which help produce Israeli fighter jets being used to bombard Gaza.  Over 600 people blockading 3 entrances at Bournemouth factory. Hundreds of others in Glasgow, Lancashire & Brighton 🇵🇸♥️",9562,"Dec 7, 2023 · 8:40 AM UTC"
@wrcaifear,There are videos of IDF Muslims officers being honored by Israelis after October 7 massacre. The Muslims in Israel are treated better than those in Gaza,0,"Dec 8, 2023 · 3:47 AM UTC"
@GoodMorningCapt,They don't want to defeat Hamas. They want to conquer Gaza and incorporate it into their state. It's obvious. They don't hide it. You are a supporter of genocide. You are campaigning for Trump and dictatorship in the United States. Have a little shame.,0,"Dec 8, 2023 · 3:47 AM UTC"
@Dalia1639452,"🔻 Imagine: doing everything possible to have baby, then, once   finally there, u lost him in seconds by the occupation's hysterical bombing. #IsraeliNewNazism #Gaza_Genocide #StopArmingIsrael #Israel",0,"Dec 8, 2023 · 3:47 AM UTC"
